Game Date,Day of Week,Local Time,Time - ET,Game,Away Team,Home Team,Location
3/18/25,Tuesday,6:00 AM,6:00 AM,Dodgers at Cubs,Dodgers,Cubs,Tokyo Dome - Tokyo
3/19/25,Wednesday,6:00 AM,6:00 AM,Dodgers at Cubs,Dodgers,Cubs,Tokyo Dome - Tokyo
3/27/25,Thursday,3:10 PM,4:10 PM,Mets at Astros,Mets,Astros,Daikin Park - Houston
3/27/25,Thursday,3:07 PM,3:07 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/27/25,Thursday,3:15 PM,4:15 PM,Twins at Cardinals,Twins,Cardinals,Busch Stadium - St. Louis
3/27/25,Thursday,7:10 PM,10:10 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/27/25,Thursday,4:10 PM,7:10 PM,Tigers at Dodgers,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/27/25,Thursday,7:10 PM,10:10 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
3/27/25,Thursday,4:10 PM,4:10 PM,Pirates at Marlins,Pirates,Marlins,loanDepot park - Miami
3/27/25,Thursday,4:05 PM,4:05 PM,Phillies at Nationals,Phillies,Nationals,Nationals Park - Washington
3/27/25,Thursday,1:10 PM,4:10 PM,Braves at Padres,Braves,Padres,Petco Park - San Diego
3/27/25,Thursday,3:05 PM,4:05 PM,Red Sox at Rangers,Red Sox,Rangers,Globe Life Field - Arlington
3/27/25,Thursday,4:10 PM,4:10 PM,Giants at Reds,Giants,Reds,Great American Ball Park - Cincinnati
3/27/25,Thursday,3:10 PM,4:10 PM,Guardians at Royals,Guardians,Royals,Kauffman Stadium - Kansas City
3/27/25,Thursday,3:10 PM,4:10 PM,Angels at White Sox,Angels,White Sox,Rate Field - Chicago
3/27/25,Thursday,3:05 PM,3:05 PM,Brewers at Yankees,Brewers,Yankees,Yankee Stadium - Bronx
3/28/25,Friday,7:10 PM,8:10 PM,Mets at Astros,Mets,Astros,Daikin Park - Houston
3/28/25,Friday,7:07 PM,7:07 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/28/25,Friday,6:40 PM,9:40 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/28/25,Friday,7:10 PM,10:10 PM,Tigers at Dodgers,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/28/25,Friday,6:40 PM,9:40 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
3/28/25,Friday,7:10 PM,7:10 PM,Pirates at Marlins,Pirates,Marlins,loanDepot park - Miami
3/28/25,Friday,6:40 PM,9:40 PM,Braves at Padres,Braves,Padres,Petco Park - San Diego
3/28/25,Friday,7:05 PM,8:05 PM,Red Sox at Rangers,Red Sox,Rangers,Globe Life Field - Arlington
3/28/25,Friday,4:10 PM,4:10 PM,Rockies at Rays,Rockies,Rays,George M. Steinbrenner Field - Tampa
3/29/25,Saturday,6:15 PM,7:15 PM,Mets at Astros,Mets,Astros,Daikin Park - Houston
3/29/25,Saturday,3:07 PM,3:07 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/29/25,Saturday,1:15 PM,2:15 PM,Twins at Cardinals,Twins,Cardinals,Busch Stadium - St. Louis
3/29/25,Saturday,5:10 PM,8:10 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/29/25,Saturday,6:10 PM,9:10 PM,Tigers at Dodgers,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/29/25,Saturday,6:40 PM,9:40 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
3/29/25,Saturday,4:10 PM,4:10 PM,Pirates at Marlins,Pirates,Marlins,loanDepot park - Miami
3/29/25,Saturday,4:05 PM,4:05 PM,Phillies at Nationals,Phillies,Nationals,Nationals Park - Washington
3/29/25,Saturday,4:15 PM,7:15 PM,Braves at Padres,Braves,Padres,Petco Park - San Diego
3/29/25,Saturday,6:05 PM,7:05 PM,Red Sox at Rangers,Red Sox,Rangers,Globe Life Field - Arlington
3/29/25,Saturday,4:10 PM,4:10 PM,Rockies at Rays,Rockies,Rays,George M. Steinbrenner Field - Tampa
3/29/25,Saturday,4:10 PM,4:10 PM,Giants at Reds,Giants,Reds,Great American Ball Park - Cincinnati
3/29/25,Saturday,3:10 PM,4:10 PM,Guardians at Royals,Guardians,Royals,Kauffman Stadium - Kansas City
3/29/25,Saturday,1:10 PM,2:10 PM,Angels at White Sox,Angels,White Sox,Rate Field - Chicago
3/29/25,Saturday,1:05 PM,1:05 PM,Brewers at Yankees,Brewers,Yankees,Yankee Stadium - Bronx
3/30/25,Sunday,1:37 PM,1:37 PM,Orioles at Blue Jays,Orioles,Blue Jays,Rogers Centre - Toronto
3/30/25,Sunday,1:15 PM,2:15 PM,Twins at Cardinals,Twins,Cardinals,Busch Stadium - St. Louis
3/30/25,Sunday,1:10 PM,4:10 PM,Cubs at D-backs,Cubs,D-backs,Chase Field - Phoenix
3/30/25,Sunday,1:10 PM,4:10 PM,Athletics at Mariners,Athletics,Mariners,T-Mobile Park - Seattle
3/30/25,Sunday,1:40 PM,1:40 PM,Pirates at Marlins,Pirates,Marlins,loanDepot park - Miami
3/30/25,Sunday,1:35 PM,1:35 PM,Phillies at Nationals,Phillies,Nationals,Nationals Park - Washington
3/30/25,Sunday,4:10 PM,7:10 PM,Braves at Padres,Braves,Padres,Petco Park - San Diego
3/30/25,Sunday,1:35 PM,2:35 PM,Red Sox at Rangers,Red Sox,Rangers,Globe Life Field - Arlington
3/30/25,Sunday,1:40 PM,1:40 PM,Rockies at Rays,Rockies,Rays,George M. Steinbrenner Field - Tampa
3/30/25,Sunday,1:40 PM,1:40 PM,Giants at Reds,Giants,Reds,Great American Ball Park - Cincinnati
3/30/25,Sunday,1:10 PM,2:10 PM,Guardians at Royals,Guardians,Royals,Kauffman Stadium - Kansas City
3/30/25,Sunday,1:10 PM,2:10 PM,Angels at White Sox,Angels,White Sox,Rate Field - Chicago
3/30/25,Sunday,,,Brewers at Yankees - Time TBD,Brewers,Yankees,Yankee Stadium - Bronx
3/31/25,Monday,7:10 PM,8:10 PM,Giants at Astros,Giants,Astros,Daikin Park - Houston
3/31/25,Monday,7:05 PM,10:05 PM,Cubs at Athletics,Cubs,Athletics,Sutter Health Park - Sacramento
3/31/25,Monday,7:07 PM,7:07 PM,Nationals at Blue Jays,Nationals,Blue Jays,Rogers Centre - Toronto
3/31/25,Monday,1:10 PM,2:10 PM,Royals at Brewers,Royals,Brewers,American Family Field - Milwaukee
3/31/25,Monday,6:45 PM,7:45 PM,Angels at Cardinals,Angels,Cardinals,Busch Stadium - St. Louis
3/31/25,Monday,7:10 PM,10:10 PM,Braves at Dodgers,Braves,Dodgers,Dodger Stadium - Los Angeles
3/31/25,Monday,6:40 PM,9:40 PM,Tigers at Mariners,Tigers,Mariners,T-Mobile Park - Seattle
3/31/25,Monday,6:40 PM,6:40 PM,Mets at Marlins,Mets,Marlins,loanDepot park - Miami
3/31/25,Monday,3:05 PM,3:05 PM,Red Sox at Orioles,Red Sox,Orioles,Oriole Park at Camden Yards - Baltimore
3/31/25,Monday,6:40 PM,9:40 PM,Guardians at Padres,Guardians,Padres,Petco Park - San Diego
3/31/25,Monday,3:05 PM,3:05 PM,Rockies at Phillies,Rockies,Phillies,Citizens Bank Park - Philadelphia
3/31/25,Monday,7:05 PM,7:05 PM,Pirates at Rays,Pirates,Rays,George M. Steinbrenner Field - Tampa
3/31/25,Monday,6:40 PM,6:40 PM,Rangers at Reds,Rangers,Reds,Great American Ball Park - Cincinnati
3/31/25,Monday,1:10 PM,2:10 PM,Twins at White Sox,Twins,White Sox,Rate Field - Chicago
4/1/25,Tuesday,7:10 PM,8:10 PM,Giants at Astros,Giants,Astros,Daikin Park - Houston
4/1/25,Tuesday,7:05 PM,10:05 PM,Cubs at Athletics,Cubs,Athletics,Sutter Health Park - Sacramento
4/1/25,Tuesday,7:07 PM,7:07 PM,Nationals at Blue Jays,Nationals,Blue Jays,Rogers Centre - Toronto
4/1/25,Tuesday,6:40 PM,7:40 PM,Royals at Brewers,Royals,Brewers,American Family Field - Milwaukee
4/1/25,Tuesday,6:45 PM,7:45 PM,Angels at Cardinals,Angels,Cardinals,Busch Stadium - St. Louis
4/1/25,Tuesday,7:10 PM,10:10 PM,Braves at Dodgers,Braves,Dodgers,Dodger Stadium - Los Angeles
4/1/25,Tuesday,6:40 PM,9:40 PM,Tigers at Mariners,Tigers,Mariners,T-Mobile Park - Seattle
4/1/25,Tuesday,6:40 PM,6:40 PM,Mets at Marlins,Mets,Marlins,loanDepot park - Miami
4/1/25,Tuesday,6:40 PM,9:40 PM,Guardians at Padres,Guardians,Padres,Petco Park - San Diego
4/1/25,Tuesday,7:05 PM,7:05 PM,Pirates at Rays,Pirates,Rays,George M. Steinbrenner Field - Tampa
4/1/25,Tuesday,6:40 PM,6:40 PM,Rangers at Reds,Rangers,Reds,Great American Ball Park - Cincinnati
4/1/25,Tuesday,6:40 PM,7:40 PM,Twins at White Sox,Twins,White Sox,Rate Field - Chicago
4/1/25,Tuesday,7:05 PM,7:05 PM,D-backs at Yankees,D-backs,Yankees,Yankee Stadium - Bronx
4/2/25,Wednesday,3:10 PM,4:10 PM,Giants at Astros,Giants,Astros,Daikin Park - Houston
4/2/25,Wednesday,12:35 PM,3:35 PM,Cubs at Athletics,Cubs,Athletics,Sutter Health Park - Sacramento
4/2/25,Wednesday,3:07 PM,3:07 PM,Nationals at Blue Jays,Nationals,Blue Jays,Rogers Centre - Toronto
4/2/25,Wednesday,12:10 PM,1:10 PM,Royals at Brewers,Royals,Brewers,American Family Field - Milwaukee
4/2/25,Wednesday,12:15 PM,1:15 PM,Angels at Cardinals,Angels,Cardinals,Busch Stadium - St. Louis
4/2/25,Wednesday,5:38 PM,8:38 PM,Braves at Dodgers,Braves,Dodgers,Dodger Stadium - Los Angeles
4/2/25,Wednesday,1:10 PM,4:10 PM,Tigers at Mariners,Tigers,Mariners,T-Mobile Park - Seattle
4/2/25,Wednesday,4:40 PM,4:40 PM,Mets at Marlins,Mets,Marlins,loanDepot park - Miami
4/2/25,Wednesday,6:35 PM,6:35 PM,Red Sox at Orioles,Red Sox,Orioles,Oriole Park at Camden Yards - Baltimore
4/2/25,Wednesday,1:10 PM,4:10 PM,Guardians at Padres,Guardians,Padres,Petco Park - San Diego
4/2/25,Wednesday,6:45 PM,6:45 PM,Rockies at Phillies,Rockies,Phillies,Citizens Bank Park - Philadelphia
4/2/25,Wednesday,1:10 PM,1:10 PM,Pirates at Rays,Pirates,Rays,George M. Steinbrenner Field - Tampa
4/2/25,Wednesday,12:40 PM,12:40 PM,Rangers at Reds,Rangers,Reds,Great American Ball Park - Cincinnati
4/2/25,Wednesday,1:10 PM,2:10 PM,Twins at White Sox,Twins,White Sox,Rate Field - Chicago
4/2/25,Wednesday,7:05 PM,7:05 PM,D-backs at Yankees,D-backs,Yankees,Yankee Stadium - Bronx
4/3/25,Thursday,6:40 PM,7:40 PM,Reds at Brewers,Reds,Brewers,American Family Field - Milwaukee
4/3/25,Thursday,1:05 PM,1:05 PM,Red Sox at Orioles,Red Sox,Orioles,Oriole Park at Camden Yards - Baltimore
4/3/25,Thursday,1:05 PM,1:05 PM,Rockies at Phillies,Rockies,Phillies,Citizens Bank Park - Philadelphia
4/3/25,Thursday,3:10 PM,4:10 PM,Astros at Twins,Astros,Twins,Target Field - Minneapolis
4/3/25,Thursday,7:05 PM,7:05 PM,D-backs at Yankees,D-backs,Yankees,Yankee Stadium - Bronx
4/4/25,Friday,6:38 PM,9:38 PM,Guardians at Angels,Guardians,Angels,Angel Stadium - Anaheim
4/4/25,Friday,7:15 PM,7:15 PM,Marlins at Braves,Marlins,Braves,Truist Park - Atlanta
4/4/25,Friday,7:10 PM,8:10 PM,Reds at Brewers,Reds,Brewers,American Family Field - Milwaukee
4/4/25,Friday,1:20 PM,2:20 PM,Padres at Cubs,Padres,Cubs,Wrigley Field - Chicago
4/4/25,Friday,1:35 PM,4:35 PM,Mariners at Giants,Mariners,Giants,Oracle Park - San Francisco
4/4/25,Friday,3:10 PM,3:10 PM,Blue Jays at Mets,Blue Jays,Mets,Citi Field - Flushing
4/4/25,Friday,6:45 PM,6:45 PM,D-backs at Nationals,D-backs,Nationals,Nationals Park - Washington
4/4/25,Friday,6:45 PM,6:45 PM,Dodgers at Phillies,Dodgers,Phillies,Citizens Bank Park - Philadelphia
4/4/25,Friday,4:12 PM,4:12 PM,Yankees at Pirates,Yankees,Pirates,PNC Park - Pittsburgh
4/4/25,Friday,7:05 PM,8:05 PM,Rays at Rangers,Rays,Rangers,Globe Life Field - Arlington
4/4/25,Friday,2:10 PM,2:10 PM,Cardinals at Red Sox,Cardinals,Red Sox,Fenway Park - Boston
4/4/25,Friday,2:10 PM,4:10 PM,Athletics at Rockies,Athletics,Rockies,Coors Field - Denver
4/4/25,Friday,6:40 PM,7:40 PM,Orioles at Royals,Orioles,Royals,Kauffman Stadium - Kansas City
4/4/25,Friday,1:10 PM,1:10 PM,White Sox at Tigers,White Sox,Tigers,Comerica Park - Detroit
4/5/25,Saturday,6:38 PM,9:38 PM,Guardians at Angels,Guardians,Angels,Angel Stadium - Anaheim
4/5/25,Saturday,7:15 PM,7:15 PM,Marlins at Braves,Marlins,Braves,Truist Park - Atlanta
4/5/25,Saturday,6:10 PM,7:10 PM,Reds at Brewers,Reds,Brewers,American Family Field - Milwaukee
4/5/25,Saturday,1:20 PM,2:20 PM,Padres at Cubs,Padres,Cubs,Wrigley Field - Chicago
4/5/25,Saturday,6:05 PM,9:05 PM,Mariners at Giants,Mariners,Giants,Oracle Park - San Francisco
4/5/25,Saturday,7:10 PM,7:10 PM,Blue Jays at Mets,Blue Jays,Mets,Citi Field - Flushing
4/5/25,Saturday,4:05 PM,4:05 PM,D-backs at Nationals,D-backs,Nationals,Nationals Park - Washington
4/5/25,Saturday,4:05 PM,4:05 PM,Dodgers at Phillies,Dodgers,Phillies,Citizens Bank Park - Philadelphia
4/5/25,Saturday,4:05 PM,4:05 PM,Yankees at Pirates,Yankees,Pirates,PNC Park - Pittsburgh
4/5/25,Saturday,6:05 PM,7:05 PM,Rays at Rangers,Rays,Rangers,Globe Life Field - Arlington
4/5/25,Saturday,4:10 PM,4:10 PM,Cardinals at Red Sox,Cardinals,Red Sox,Fenway Park - Boston
4/5/25,Saturday,6:10 PM,8:10 PM,Athletics at Rockies,Athletics,Rockies,Coors Field - Denver
4/5/25,Saturday,3:10 PM,4:10 PM,Orioles at Royals,Orioles,Royals,Kauffman Stadium - Kansas City
4/5/25,Saturday,1:10 PM,1:10 PM,White Sox at Tigers,White Sox,Tigers,Comerica Park - Detroit
4/5/25,Saturday,1:10 PM,2:10 PM,Astros at Twins,Astros,Twins,Target Field - Minneapolis
4/6/25,Sunday,1:07 PM,4:07 PM,Guardians at Angels,Guardians,Angels,Angel Stadium - Anaheim
4/6/25,Sunday,1:35 PM,1:35 PM,Marlins at Braves,Marlins,Braves,Truist Park - Atlanta
4/6/25,Sunday,1:10 PM,2:10 PM,Reds at Brewers,Reds,Brewers,American Family Field - Milwaukee
4/6/25,Sunday,1:20 PM,2:20 PM,Padres at Cubs,Padres,Cubs,Wrigley Field - Chicago
4/6/25,Sunday,1:05 PM,4:05 PM,Mariners at Giants,Mariners,Giants,Oracle Park - San Francisco
4/6/25,Sunday,1:40 PM,1:40 PM,Blue Jays at Mets,Blue Jays,Mets,Citi Field - Flushing
4/6/25,Sunday,1:35 PM,1:35 PM,D-backs at Nationals,D-backs,Nationals,Nationals Park - Washington
4/6/25,Sunday,1:35 PM,1:35 PM,Dodgers at Phillies,Dodgers,Phillies,Citizens Bank Park - Philadelphia
4/6/25,Sunday,1:35 PM,1:35 PM,Yankees at Pirates,Yankees,Pirates,PNC Park - Pittsburgh
4/6/25,Sunday,1:35 PM,2:35 PM,Rays at Rangers,Rays,Rangers,Globe Life Field - Arlington
4/6/25,Sunday,7:10 PM,7:10 PM,Cardinals at Red Sox,Cardinals,Red Sox,Fenway Park - Boston
4/6/25,Sunday,1:10 PM,3:10 PM,Athletics at Rockies,Athletics,Rockies,Coors Field - Denver
4/6/25,Sunday,1:10 PM,2:10 PM,Orioles at Royals,Orioles,Royals,Kauffman Stadium - Kansas City
4/6/25,Sunday,1:40 PM,1:40 PM,White Sox at Tigers,White Sox,Tigers,Comerica Park - Detroit
4/6/25,Sunday,1:10 PM,2:10 PM,Astros at Twins,Astros,Twins,Target Field - Minneapolis
4/7/25,Monday,7:05 PM,10:05 PM,Padres at Athletics,Padres,Athletics,Sutter Health Park - Sacramento
4/7/25,Monday,6:40 PM,7:40 PM,Rangers at Cubs,Rangers,Cubs,Wrigley Field - Chicago
4/7/25,Monday,6:40 PM,9:40 PM,Orioles at D-backs,Orioles,D-backs,Chase Field - Phoenix
4/7/25,Monday,6:45 PM,9:45 PM,Reds at Giants,Reds,Giants,Oracle Park - San Francisco
4/7/25,Monday,6:40 PM,9:40 PM,Astros at Mariners,Astros,Mariners,T-Mobile Park - Seattle
4/7/25,Monday,7:10 PM,7:10 PM,Marlins at Mets,Marlins,Mets,Citi Field - Flushing
4/7/25,Monday,6:45 PM,6:45 PM,Dodgers at Nationals,Dodgers,Nationals,Nationals Park - Washington
4/7/25,Monday,6:40 PM,6:40 PM,Cardinals at Pirates,Cardinals,Pirates,PNC Park - Pittsburgh
4/7/25,Monday,6:45 PM,6:45 PM,Blue Jays at Red Sox,Blue Jays,Red Sox,Fenway Park - Boston
4/7/25,Monday,6:40 PM,7:40 PM,Twins at Royals,Twins,Royals,Kauffman Stadium - Kansas City
4/7/25,Monday,6:40 PM,6:40 PM,Yankees at Tigers,Yankees,Tigers,Comerica Park - Detroit
4/8/25,Tuesday,7:05 PM,10:05 PM,Padres at Athletics,Padres,Athletics,Sutter Health Park - Sacramento
4/8/25,Tuesday,7:15 PM,7:15 PM,Phillies at Braves,Phillies,Braves,Truist Park - Atlanta
4/8/25,Tuesday,6:40 PM,7:40 PM,Rangers at Cubs,Rangers,Cubs,Wrigley Field - Chicago
4/8/25,Tuesday,6:40 PM,9:40 PM,Orioles at D-backs,Orioles,D-backs,Chase Field - Phoenix
4/8/25,Tuesday,6:45 PM,9:45 PM,Reds at Giants,Reds,Giants,Oracle Park - San Francisco
4/8/25,Tuesday,4:10 PM,4:10 PM,White Sox at Guardians,White Sox,Guardians,Progressive Field - Cleveland
4/8/25,Tuesday,6:40 PM,9:40 PM,Astros at Mariners,Astros,Mariners,T-Mobile Park - Seattle
4/8/25,Tuesday,7:10 PM,7:10 PM,Marlins at Mets,Marlins,Mets,Citi Field - Flushing
4/8/25,Tuesday,6:45 PM,6:45 PM,Dodgers at Nationals,Dodgers,Nationals,Nationals Park - Washington
4/8/25,Tuesday,6:40 PM,6:40 PM,Cardinals at Pirates,Cardinals,Pirates,PNC Park - Pittsburgh
4/8/25,Tuesday,7:05 PM,7:05 PM,Angels at Rays,Angels,Rays,George M. Steinbrenner Field - Tampa
4/8/25,Tuesday,6:45 PM,6:45 PM,Blue Jays at Red Sox,Blue Jays,Red Sox,Fenway Park - Boston
4/8/25,Tuesday,6:40 PM,8:40 PM,Brewers at Rockies,Brewers,Rockies,Coors Field - Denver
4/8/25,Tuesday,6:40 PM,7:40 PM,Twins at Royals,Twins,Royals,Kauffman Stadium - Kansas City
4/8/25,Tuesday,6:40 PM,6:40 PM,Yankees at Tigers,Yankees,Tigers,Comerica Park - Detroit
4/9/25,Wednesday,12:35 PM,3:35 PM,Padres at Athletics,Padres,Athletics,Sutter Health Park - Sacramento
4/9/25,Wednesday,7:15 PM,7:15 PM,Phillies at Braves,Phillies,Braves,Truist Park - Atlanta
4/9/25,Wednesday,1:20 PM,2:20 PM,Rangers at Cubs,Rangers,Cubs,Wrigley Field - Chicago
4/9/25,Wednesday,12:40 PM,3:40 PM,Orioles at D-backs,Orioles,D-backs,Chase Field - Phoenix
4/9/25,Wednesday,12:45 PM,3:45 PM,Reds at Giants,Reds,Giants,Oracle Park - San Francisco
4/9/25,Wednesday,6:10 PM,6:10 PM,White Sox at Guardians,White Sox,Guardians,Progressive Field - Cleveland
4/9/25,Wednesday,1:10 PM,4:10 PM,Astros at Mariners,Astros,Mariners,T-Mobile Park - Seattle
4/9/25,Wednesday,1:10 PM,1:10 PM,Marlins at Mets,Marlins,Mets,Citi Field - Flushing
4/9/25,Wednesday,4:05 PM,4:05 PM,Dodgers at Nationals,Dodgers,Nationals,Nationals Park - Washington
4/9/25,Wednesday,12:35 PM,12:35 PM,Cardinals at Pirates,Cardinals,Pirates,PNC Park - Pittsburgh
4/9/25,Wednesday,7:05 PM,7:05 PM,Angels at Rays,Angels,Rays,George M. Steinbrenner Field - Tampa
4/9/25,Wednesday,6:45 PM,6:45 PM,Blue Jays at Red Sox,Blue Jays,Red Sox,Fenway Park - Boston
4/9/25,Wednesday,6:40 PM,8:40 PM,Brewers at Rockies,Brewers,Rockies,Coors Field - Denver
4/9/25,Wednesday,6:40 PM,7:40 PM,Twins at Royals,Twins,Royals,Kauffman Stadium - Kansas City
4/9/25,Wednesday,6:40 PM,6:40 PM,Yankees at Tigers,Yankees,Tigers,Comerica Park - Detroit
4/10/25,Thursday,7:15 PM,7:15 PM,Phillies at Braves,Phillies,Braves,Truist Park - Atlanta
4/10/25,Thursday,1:10 PM,1:10 PM,White Sox at Guardians,White Sox,Guardians,Progressive Field - Cleveland
4/10/25,Thursday,1:10 PM,1:10 PM,Angels at Rays,Angels,Rays,George M. Steinbrenner Field - Tampa
4/10/25,Thursday,4:10 PM,4:10 PM,Blue Jays at Red Sox,Blue Jays,Red Sox,Fenway Park - Boston
4/10/25,Thursday,1:10 PM,3:10 PM,Brewers at Rockies,Brewers,Rockies,Coors Field - Denver
4/10/25,Thursday,1:10 PM,2:10 PM,Twins at Royals,Twins,Royals,Kauffman Stadium - Kansas City
4/11/25,Friday,7:10 PM,8:10 PM,Angels at Astros,Angels,Astros,Daikin Park - Houston
4/11/25,Friday,7:05 PM,10:05 PM,Mets at Athletics,Mets,Athletics,Sutter Health Park - Sacramento
4/11/25,Friday,7:15 PM,8:15 PM,Phillies at Cardinals,Phillies,Cardinals,Busch Stadium - St. Louis
4/11/25,Friday,6:40 PM,9:40 PM,Brewers at D-backs,Brewers,D-backs,Chase Field - Phoenix
4/11/25,Friday,7:10 PM,10:10 PM,Cubs at Dodgers,Cubs,Dodgers,Dodger Stadium - Los Angeles
4/11/25,Friday,6:10 PM,6:10 PM,Royals at Guardians,Royals,Guardians,Progressive Field - Cleveland
4/11/25,Friday,6:40 PM,9:40 PM,Rangers at Mariners,Rangers,Mariners,T-Mobile Park - Seattle
4/11/25,Friday,7:10 PM,7:10 PM,Nationals at Marlins,Nationals,Marlins,loanDepot park - Miami
4/11/25,Friday,7:05 PM,7:05 PM,Blue Jays at Orioles,Blue Jays,Orioles,Oriole Park at Camden Yards - Baltimore
4/11/25,Friday,6:40 PM,9:40 PM,Rockies at Padres,Rockies,Padres,Petco Park - San Diego
4/11/25,Friday,7:05 PM,7:05 PM,Braves at Rays,Braves,Rays,George M. Steinbrenner Field - Tampa
4/11/25,Friday,6:40 PM,6:40 PM,Pirates at Reds,Pirates,Reds,Great American Ball Park - Cincinnati
4/11/25,Friday,7:10 PM,8:10 PM,Tigers at Twins,Tigers,Twins,Target Field - Minneapolis
4/11/25,Friday,6:40 PM,7:40 PM,Red Sox at White Sox,Red Sox,White Sox,Rate Field - Chicago
4/11/25,Friday,7:05 PM,7:05 PM,Giants at Yankees,Giants,Yankees,Yankee Stadium - Bronx
4/12/25,Saturday,6:10 PM,7:10 PM,Angels at Astros,Angels,Astros,Daikin Park - Houston
4/12/25,Saturday,1:05 PM,4:05 PM,Mets at Athletics,Mets,Athletics,Sutter Health Park - Sacramento
4/12/25,Saturday,1:15 PM,2:15 PM,Phillies at Cardinals,Phillies,Cardinals,Busch Stadium - St. Louis
4/12/25,Saturday,5:10 PM,8:10 PM,Brewers at D-backs,Brewers,D-backs,Chase Field - Phoenix
4/12/25,Saturday,6:10 PM,9:10 PM,Cubs at Dodgers,Cubs,Dodgers,Dodger Stadium - Los Angeles
4/12/25,Saturday,6:10 PM,6:10 PM,Royals at Guardians,Royals,Guardians,Progressive Field - Cleveland
4/12/25,Saturday,6:40 PM,9:40 PM,Rangers at Mariners,Rangers,Mariners,T-Mobile Park - Seattle
4/12/25,Saturday,4:10 PM,4:10 PM,Nationals at Marlins,Nationals,Marlins,loanDepot park - Miami
4/12/25,Saturday,4:05 PM,4:05 PM,Blue Jays at Orioles,Blue Jays,Orioles,Oriole Park at Camden Yards - Baltimore
4/12/25,Saturday,5:40 PM,8:40 PM,Rockies at Padres,Rockies,Padres,Petco Park - San Diego
4/12/25,Saturday,4:10 PM,4:10 PM,Braves at Rays,Braves,Rays,George M. Steinbrenner Field - Tampa
4/12/25,Saturday,6:40 PM,6:40 PM,Pirates at Reds,Pirates,Reds,Great American Ball Park - Cincinnati
4/12/25,Saturday,1:10 PM,2:10 PM,Tigers at Twins,Tigers,Twins,Target Field - Minneapolis
4/12/25,Saturday,3:10 PM,4:10 PM,Red Sox at White Sox,Red Sox,White Sox,Rate Field - Chicago
4/12/25,Saturday,4:05 PM,4:05 PM,Giants at Yankees,Giants,Yankees,Yankee Stadium - Bronx
4/13/25,Sunday,1:10 PM,2:10 PM,Angels at Astros,Angels,Astros,Daikin Park - Houston
4/13/25,Sunday,1:05 PM,4:05 PM,Mets at Athletics,Mets,Athletics,Sutter Health Park - Sacramento
4/13/25,Sunday,1:15 PM,2:15 PM,Phillies at Cardinals,Phillies,Cardinals,Busch Stadium - St. Louis
4/13/25,Sunday,1:10 PM,4:10 PM,Brewers at D-backs,Brewers,D-backs,Chase Field - Phoenix
4/13/25,Sunday,4:10 PM,7:10 PM,Cubs at Dodgers,Cubs,Dodgers,Dodger Stadium - Los Angeles
4/13/25,Sunday,1:40 PM,1:40 PM,Royals at Guardians,Royals,Guardians,Progressive Field - Cleveland
4/13/25,Sunday,1:10 PM,4:10 PM,Rangers at Mariners,Rangers,Mariners,T-Mobile Park - Seattle
4/13/25,Sunday,1:40 PM,1:40 PM,Nationals at Marlins,Nationals,Marlins,loanDepot park - Miami
4/13/25,Sunday,1:35 PM,1:35 PM,Blue Jays at Orioles,Blue Jays,Orioles,Oriole Park at Camden Yards - Baltimore
4/13/25,Sunday,1:10 PM,4:10 PM,Rockies at Padres,Rockies,Padres,Petco Park - San Diego
4/13/25,Sunday,1:40 PM,1:40 PM,Braves at Rays,Braves,Rays,George M. Steinbrenner Field - Tampa
4/13/25,Sunday,1:40 PM,1:40 PM,Pirates at Reds,Pirates,Reds,Great American Ball Park - Cincinnati
4/13/25,Sunday,1:10 PM,2:10 PM,Tigers at Twins,Tigers,Twins,Target Field - Minneapolis
4/13/25,Sunday,1:10 PM,2:10 PM,Red Sox at White Sox,Red Sox,White Sox,Rate Field - Chicago
4/13/25,Sunday,,,Giants at Yankees - Time TBD,Giants,Yankees,Yankee Stadium - Bronx
4/14/25,Monday,7:07 PM,7:07 PM,Braves at Blue Jays,Braves,Blue Jays,Rogers Centre - Toronto
4/14/25,Monday,6:40 PM,7:40 PM,Tigers at Brewers,Tigers,Brewers,American Family Field - Milwaukee
4/14/25,Monday,6:45 PM,7:45 PM,Astros at Cardinals,Astros,Cardinals,Busch Stadium - St. Louis
4/14/25,Monday,7:10 PM,10:10 PM,Rockies at Dodgers,Rockies,Dodgers,Dodger Stadium - Los Angeles
4/14/25,Monday,6:40 PM,9:40 PM,Cubs at Padres,Cubs,Padres,Petco Park - San Diego
