date,team_ID,home_or_away,opponent,result,win_percentage
2022-09-11,STL,@,PIT,W,0.589
2022-09-13,STL,Home,MIL,L,0.585
2022-09-14,STL,Home,MIL,W,0.587
2022-09-15,STL,Home,CIN,L,0.583
2022-09-16,STL,Home,CIN,W,0.586
2022-09-17,STL,Home,CIN,W,0.589
2022-09-17,STL,Home,CIN,W-wo,0.592
2022-09-18,STL,Home,CIN,L,0.588
2022-09-20,STL,@,SDP,L,0.584
2022-09-21,STL,@,SDP,L,0.58
2022-09-22,STL,@,SDP,W,0.583
2022-09-23,STL,@,LAD,W,0.586
2022-09-24,STL,@,LAD,L,0.582
2022-09-25,STL,@,LAD,L,0.578
2022-09-27,STL,@,MIL,W,0.581
2022-09-28,STL,@,MIL,L,0.577
2022-09-30,STL,Home,PIT,W,0.58
2022-10-01,STL,Home,PIT,W,0.582
2022-10-02,STL,Home,PIT,L,0.579
2022-10-03,STL,@,PIT,L-wo,0.575
2022-10-04,STL,@,PIT,W,0.578
2022-10-05,STL,@,PIT,L,0.574
