gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds
300663,2024-07-23T22:40:00+00:00,Miami,Baltimore,Kyle Tyler,Albert Suarez,6,3,150,-185,145,-175,146,-174,146,-174,150,-179,143,-169,150,-180,140,-165,145,-175,140,-180
300656,2024-07-23T22:40:00+00:00,Cleveland,Detroit,Xzavion Curry,Tyler Holton,5,4,-145,120,-135,115,-126,108,-132,112,-141,118,-135,115,-125,105,-135,115,-125,105,-135,105
300658,2024-07-23T22:40:00+00:00,Pittsburgh,St. Louis,Paul Skenes,Michael Lynn,1,2,-190,155,-190,155,-164,138,-178,150,-179,152,-179,150,-170,145,-180,150,-180,150,-180,150
300657,2024-07-23T22:45:00+00:00,Washington,San Diego,DJ Herz,Randy Vasquez,0,4,-125,105,-110,-110,-124,106,-116,-102,-125,105,-120,100,-125,105,-120,100,-125,105,-118,-102
300664,2024-07-23T23:05:00+00:00,NY Yankees,NY Mets,Luis Gil,Jose Quintana,2,3,-160,135,-160,135,-162,136,-156,132,-154,130,-154,130,-155,130,-155,130,-155,130,-155,130
300665,2024-07-23T23:07:00+00:00,Toronto,Tampa Bay,Jose Berrios,Shawn Armstrong,2,4,-155,130,-145,120,-162,136,-130,110,-154,130,-135,115,-160,135,-130,110,-155,130,-130,110
300655,2024-07-23T23:40:00+00:00,Minnesota,Philadelphia,Simeon Woods Richardson,Zack Wheeler,0,3,140,-165,125,-150,136,-162,126,-148,135,-161,122,-145,140,-165,125,-150,136,-162,124,-148
300666,2024-07-24T00:05:00+00:00,Texas,Chi. White Sox,Jon Gray,Garrett Crochet,3,2,-125,105,-135,110,-116,-102,-130,110,-120,100,-135,115,-120,100,-135,115,-122,102,-145,114
300667,2024-07-24T00:05:00+00:00,Chi. Cubs,Milwaukee,Jameson Taillon,Colin Rea,0,1,-120,100,-110,-110,-108,-108,102,-130,-120,100,-110,-110,-120,100,-110,-110,-122,102,-105,-125
300654,2024-07-24T00:10:00+00:00,Kansas City,Arizona,Alec Marsh,Jordan Montgomery,2,6,100,-120,-110,-110,102,-120,-112,-104,100,-120,-115,-105,100,-120,-110,-110,100,-120,-115,-105
300668,2024-07-24T00:40:00+00:00,Colorado,Boston,Ty Blach,Cooper Criswell,0,6,135,-160,135,-160,136,-162,120,-154,135,-161,130,-154,135,-160,130,-155,136,-162,120,-154
300661,2024-07-24T01:40:00+00:00,Seattle,LA Angels,Logan Gilbert,Jose Soriano,1,5,-190,155,-165,140,-180,152,-178,138,-189,158,-161,135,-180,150,-165,140,-185,154,-188,145
300660,2024-07-24T01:40:00+00:00,Athletics,Houston,Osvaldo Bido,Jake Bloss,8,2,110,-135,115,-135,116,-136,106,-136,105,-125,115,-135,115,-135,115,-135,110,-130,110,-140
300662,2024-07-24T02:10:00+00:00,LA Dodgers,San Francisco,Landon Knack,Jordan Hicks,5,2,-145,120,-155,130,-130,110,-154,130,-141,118,-145,122,-140,120,-155,130,-142,120,-155,130
