Team,Batting Average,Date,Team Abbreviation
Texas,0.275654,2023-06-04,TEX
Tampa Bay,0.267356,2023-06-04,TBR
Toronto,0.266278,2023-06-04,TOR
Washington,0.264379,2023-06-04,WSN
Boston,0.263714,2023-06-04,BOS
Arizona,0.25991,2023-06-04,ARI
Colorado,0.259843,2023-06-04,COL
Miami,0.259557,2023-06-04,MIA
LA Angels,0.259531,2023-06-04,LAA
Atlanta,0.256502,2023-06-04,ATL
Philadelphia,0.254932,2023-06-04,PHI
Cincinnati,0.253693,2023-06-04,CIN
St. Louis,0.253465,2023-06-04,STL
Chi Cubs,0.249092,2023-06-04,CHC
SF Giants,0.248736,2023-06-04,SFG
Baltimore,0.248718,2023-06-04,BAL
Houston,0.247545,2023-06-04,HOU
Pittsburgh,0.247084,2023-06-04,PIT
LA Dodgers,0.24357,2023-06-04,LAD
NY Mets,0.241149,2023-06-04,NYM
Chi Sox,0.239216,2023-06-04,CHW
NY Yankees,0.237305,2023-06-04,NYY
Cleveland,0.234536,2023-06-04,CLE
Minnesota,0.233936,2023-06-04,MIN
Kansas City,0.233179,2023-06-04,KCR
Milwaukee,0.229958,2023-06-04,MIL
Seattle,0.227835,2023-06-04,SEA
Detroit,0.227249,2023-06-04,DET
San Diego,0.22181,2023-06-04,SDP
Sacramento,0.217852,2023-06-04,OAK
