Team,Batting Average,Date,Team Abbreviation
Texas,0.271201,2023-06-16,TEX
Atlanta,0.265106,2023-06-16,ATL
Toronto,0.264936,2023-06-16,TOR
Tampa Bay,0.263332,2023-06-16,TBR
Arizona,0.262708,2023-06-16,ARI
Washington,0.260376,2023-06-16,WSN
Philadelphia,0.260355,2023-06-16,PHI
Boston,0.259228,2023-06-16,BOS
Colorado,0.256219,2023-06-16,COL
Miami,0.255503,2023-06-16,MIA
LA Angels,0.255284,2023-06-16,LAA
Cincinnati,0.254186,2023-06-16,CIN
Baltimore,0.254127,2023-06-16,BAL
SF Giants,0.253431,2023-06-16,SFG
St. Louis,0.249257,2023-06-16,STL
Pittsburgh,0.248419,2023-06-16,PIT
Chi Cubs,0.248363,2023-06-16,CHC
Houston,0.245591,2023-06-16,HOU
Cleveland,0.242913,2023-06-16,CLE
LA Dodgers,0.240964,2023-06-16,LAD
NY Mets,0.239487,2023-06-16,NYM
Chi Sox,0.235714,2023-06-16,CHW
Kansas City,0.232527,2023-06-16,KCR
NY Yankees,0.231947,2023-06-16,NYY
Minnesota,0.231366,2023-06-16,MIN
Milwaukee,0.229362,2023-06-16,MIL
San Diego,0.229251,2023-06-16,SDP
Seattle,0.229223,2023-06-16,SEA
Detroit,0.229048,2023-06-16,DET
Sacramento,0.222554,2023-06-16,OAK
