Team,Batting Average,Date,Team Abbreviation
Tampa Bay,0.271357,2023-05-27,TBR
Texas,0.271313,2023-05-27,TEX
Washington,0.267355,2023-05-27,WSN
Toronto,0.264544,2023-05-27,TOR
Boston,0.264032,2023-05-27,BOS
Arizona,0.263218,2023-05-27,ARI
St. Louis,0.260679,2023-05-27,STL
LA Angels,0.260476,2023-05-27,LAA
Miami,0.258944,2023-05-27,MIA
Philadelphia,0.25788,2023-05-27,PHI
Atlanta,0.257541,2023-05-27,ATL
Chi Cubs,0.256709,2023-05-27,CHC
Colorado,0.256293,2023-05-27,COL
Cincinnati,0.253076,2023-05-27,CIN
Baltimore,0.251882,2023-05-27,BAL
Pittsburgh,0.246832,2023-05-27,PIT
SF Giants,0.245836,2023-05-27,SFG
Houston,0.244165,2023-05-27,HOU
NY Mets,0.242899,2023-05-27,NYM
Chi Sox,0.24073,2023-05-27,CHW
LA Dodgers,0.236782,2023-05-27,LAD
NY Yankees,0.234079,2023-05-27,NYY
Milwaukee,0.233774,2023-05-27,MIL
Kansas City,0.231343,2023-05-27,KCR
Detroit,0.22888,2023-05-27,DET
Seattle,0.228873,2023-05-27,SEA
Minnesota,0.228305,2023-05-27,MIN
Cleveland,0.224924,2023-05-27,CLE
San Diego,0.224293,2023-05-27,SDP
Sacramento,0.221154,2023-05-27,OAK
