Team,Batting Average,Date,Team Abbreviation
Texas,0.272268,2023-06-28,TEX
Atlanta,0.270849,2023-06-28,ATL
Arizona,0.264684,2023-06-28,ARI
Tampa Bay,0.264418,2023-06-28,TBR
Toronto,0.26331,2023-06-28,TOR
Miami,0.263197,2023-06-28,MIA
Washington,0.261351,2023-06-28,WSN
Boston,0.259854,2023-06-28,BOS
LA Angels,0.258182,2023-06-28,LAA
Philadelphia,0.257015,2023-06-28,PHI
Cincinnati,0.255083,2023-06-28,CIN
Colorado,0.253829,2023-06-28,COL
Baltimore,0.25314,2023-06-28,BAL
SF Giants,0.252682,2023-06-28,SFG
St. Louis,0.250376,2023-06-28,STL
Chi Cubs,0.247395,2023-06-28,CHC
Cleveland,0.246305,2023-06-28,CLE
Houston,0.245396,2023-06-28,HOU
NY Mets,0.239603,2023-06-28,NYM
Pittsburgh,0.2393,2023-06-28,PIT
LA Dodgers,0.238295,2023-06-28,LAD
Chi Sox,0.234159,2023-06-28,CHW
San Diego,0.233231,2023-06-28,SDP
Kansas City,0.232285,2023-06-28,KCR
Minnesota,0.231645,2023-06-28,MIN
Seattle,0.229652,2023-06-28,SEA
Detroit,0.228723,2023-06-28,DET
NY Yankees,0.228131,2023-06-28,NYY
Milwaukee,0.225532,2023-06-28,MIL
Sacramento,0.219476,2023-06-28,OAK
