Team,Batting Average,Date,Team Abbreviation
Texas,0.271292,2023-05-28,TEX
Tampa Bay,0.270936,2023-05-28,TBR
Washington,0.266592,2023-05-28,WSN
Toronto,0.264801,2023-05-28,TOR
Boston,0.262802,2023-05-28,BOS
Arizona,0.260452,2023-05-28,ARI
LA Angels,0.259567,2023-05-28,LAA
Colorado,0.258969,2023-05-28,COL
Miami,0.258065,2023-05-28,MIA
Philadelphia,0.257865,2023-05-28,PHI
St. Louis,0.257266,2023-05-28,STL
Chi Cubs,0.256586,2023-05-28,CHC
Atlanta,0.255271,2023-05-28,ATL
Cincinnati,0.254587,2023-05-28,CIN
Baltimore,0.250996,2023-05-28,BAL
SF Giants,0.244783,2023-05-28,SFG
NY Mets,0.24447,2023-05-28,NYM
Houston,0.244131,2023-05-28,HOU
Pittsburgh,0.243772,2023-05-28,PIT
Chi Sox,0.238847,2023-05-28,CHW
LA Dodgers,0.23705,2023-05-28,LAD
NY Yankees,0.234366,2023-05-28,NYY
Milwaukee,0.232311,2023-05-28,MIL
Minnesota,0.231339,2023-05-28,MIN
Kansas City,0.230986,2023-05-28,KCR
Detroit,0.230769,2023-05-28,DET
Seattle,0.230725,2023-05-28,SEA
Cleveland,0.224599,2023-05-28,CLE
San Diego,0.221698,2023-05-28,SDP
Sacramento,0.220678,2023-05-28,OAK
