Team,Batting Average,Date,Team Abbreviation
Texas,0.271553,2023-06-24,TEX
Atlanta,0.26965,2023-06-24,ATL
Tampa Bay,0.266266,2023-06-24,TBR
Arizona,0.26356,2023-06-24,ARI
Washington,0.26209,2023-06-24,WSN
Toronto,0.261753,2023-06-24,TOR
Boston,0.261183,2023-06-24,BOS
Miami,0.259645,2023-06-24,MIA
Philadelphia,0.257087,2023-06-24,PHI
Colorado,0.256401,2023-06-24,COL
Cincinnati,0.256041,2023-06-24,CIN
LA Angels,0.253926,2023-06-24,LAA
SF Giants,0.253645,2023-06-24,SFG
Baltimore,0.252396,2023-06-24,BAL
St. Louis,0.24961,2023-06-24,STL
Chi Cubs,0.246581,2023-06-24,CHC
Cleveland,0.246057,2023-06-24,CLE
Houston,0.244027,2023-06-24,HOU
LA Dodgers,0.240111,2023-06-24,LAD
NY Mets,0.23955,2023-06-24,NYM
Pittsburgh,0.238927,2023-06-24,PIT
Chi Sox,0.234441,2023-06-24,CHW
Kansas City,0.234277,2023-06-24,KCR
San Diego,0.233267,2023-06-24,SDP
Minnesota,0.231245,2023-06-24,MIN
Seattle,0.230335,2023-06-24,SEA
Detroit,0.2292,2023-06-24,DET
NY Yankees,0.228743,2023-06-24,NYY
Milwaukee,0.226976,2023-06-24,MIL
Sacramento,0.22093,2023-06-24,OAK
