Team,Batting Average,Date,Team Abbreviation
Tampa Bay,0.27267,2023-05-21,TBR
Texas,0.26975,2023-05-21,TEX
Boston,0.269279,2023-05-21,BOS
Arizona,0.265815,2023-05-21,ARI
Chi Cubs,0.265083,2023-05-21,CHC
LA Angels,0.261194,2023-05-21,LAA
Philadelphia,0.260531,2023-05-21,PHI
St. Louis,0.260333,2023-05-21,STL
Washington,0.258831,2023-05-21,WSN
Atlanta,0.258001,2023-05-21,ATL
Colorado,0.257566,2023-05-21,COL
Toronto,0.25596,2023-05-21,TOR
Baltimore,0.252106,2023-05-21,BAL
Miami,0.246745,2023-05-21,MIA
Pittsburgh,0.245638,2023-05-21,PIT
Houston,0.245521,2023-05-21,HOU
Cincinnati,0.245131,2023-05-21,CIN
Chi Sox,0.242236,2023-05-21,CHW
NY Mets,0.241176,2023-05-21,NYM
SF Giants,0.239762,2023-05-21,SFG
Milwaukee,0.237966,2023-05-21,MIL
NY Yankees,0.237342,2023-05-21,NYY
LA Dodgers,0.232588,2023-05-21,LAD
Minnesota,0.232051,2023-05-21,MIN
Kansas City,0.23023,2023-05-21,KCR
Cleveland,0.229877,2023-05-21,CLE
Seattle,0.228836,2023-05-21,SEA
Sacramento,0.228336,2023-05-21,OAK
Detroit,0.228142,2023-05-21,DET
San Diego,0.221925,2023-05-21,SDP
