Team,Batting Average,Date,Team Abbreviation
Texas,0.271359,2023-08-02,TEX
Atlanta,0.268908,2023-08-02,ATL
Miami,0.264634,2023-08-02,MIA
Boston,0.264105,2023-08-02,BOS
Washington,0.260033,2023-08-02,WSN
Toronto,0.259968,2023-08-02,TOR
Chi Cubs,0.256453,2023-08-02,CHC
Arizona,0.256081,2023-08-02,ARI
St. Louis,0.256028,2023-08-02,STL
LA Angels,0.255915,2023-08-02,LAA
Tampa Bay,0.254283,2023-08-02,TBR
Philadelphia,0.25402,2023-08-02,PHI
Colorado,0.253308,2023-08-02,COL
Cincinnati,0.253113,2023-08-02,CIN
Cleveland,0.25156,2023-08-02,CLE
Baltimore,0.250761,2023-08-02,BAL
Houston,0.249454,2023-08-02,HOU
LA Dodgers,0.246564,2023-08-02,LAD
SF Giants,0.241285,2023-08-02,SFG
San Diego,0.23856,2023-08-02,SDP
NY Mets,0.238299,2023-08-02,NYM
Chi Sox,0.237178,2023-08-02,CHW
Minnesota,0.237116,2023-08-02,MIN
Pittsburgh,0.236218,2023-08-02,PIT
Kansas City,0.235441,2023-08-02,KCR
Seattle,0.233983,2023-08-02,SEA
Milwaukee,0.232696,2023-08-02,MIL
Detroit,0.231704,2023-08-02,DET
NY Yankees,0.229452,2023-08-02,NYY
Sacramento,0.222785,2023-08-02,OAK
