Team,Batting Average,Date,Team Abbreviation
Texas,0.27525,2023-06-11,TEX
Atlanta,0.263666,2023-06-11,ATL
Arizona,0.263498,2023-06-11,ARI
Toronto,0.262374,2023-06-11,TOR
Washington,0.262104,2023-06-11,WSN
Tampa Bay,0.261989,2023-06-11,TBR
Miami,0.259598,2023-06-11,MIA
Boston,0.259459,2023-06-11,BOS
Colorado,0.258036,2023-06-11,COL
LA Angels,0.255376,2023-06-11,LAA
Cincinnati,0.255242,2023-06-11,CIN
Philadelphia,0.254144,2023-06-11,PHI
St. Louis,0.250564,2023-06-11,STL
Baltimore,0.249072,2023-06-11,BAL
Pittsburgh,0.248319,2023-06-11,PIT
Houston,0.247606,2023-06-11,HOU
SF Giants,0.246324,2023-06-11,SFG
Chi Cubs,0.243596,2023-06-11,CHC
LA Dodgers,0.242687,2023-06-11,LAD
NY Mets,0.241539,2023-06-11,NYM
Cleveland,0.239574,2023-06-11,CLE
Chi Sox,0.237136,2023-06-11,CHW
NY Yankees,0.233945,2023-06-11,NYY
Kansas City,0.229939,2023-06-11,KCR
Minnesota,0.229471,2023-06-11,MIN
Seattle,0.228761,2023-06-11,SEA
Milwaukee,0.228571,2023-06-11,MIL
San Diego,0.227836,2023-06-11,SDP
Sacramento,0.223996,2023-06-11,OAK
Detroit,0.221531,2023-06-11,DET
