Team,Batting Average,Date,Team Abbreviation
Texas,0.271886,2023-06-22,TEX
Atlanta,0.269262,2023-06-22,ATL
Boston,0.264752,2023-06-22,BOS
Arizona,0.264025,2023-06-22,ARI
Tampa Bay,0.263341,2023-06-22,TBR
Toronto,0.262376,2023-06-22,TOR
Washington,0.262039,2023-06-22,WSN
Miami,0.259596,2023-06-22,MIA
Philadelphia,0.258655,2023-06-22,PHI
Cincinnati,0.255722,2023-06-22,CIN
Colorado,0.254587,2023-06-22,COL
SF Giants,0.254231,2023-06-22,SFG
Baltimore,0.254141,2023-06-22,BAL
LA Angels,0.253204,2023-06-22,LAA
St. Louis,0.24961,2023-06-22,STL
Cleveland,0.247173,2023-06-22,CLE
Chi Cubs,0.246581,2023-06-22,CHC
Houston,0.245545,2023-06-22,HOU
NY Mets,0.241253,2023-06-22,NYM
Pittsburgh,0.2403,2023-06-22,PIT
LA Dodgers,0.239487,2023-06-22,LAD
Chi Sox,0.234339,2023-06-22,CHW
Kansas City,0.233104,2023-06-22,KCR
Minnesota,0.231136,2023-06-22,MIN
NY Yankees,0.230045,2023-06-22,NYY
San Diego,0.229975,2023-06-22,SDP
Detroit,0.229243,2023-06-22,DET
Milwaukee,0.226314,2023-06-22,MIL
Seattle,0.226156,2023-06-22,SEA
Sacramento,0.222134,2023-06-22,OAK
