gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds
300502,2024-07-08T16:35:00+00:00,Pittsburgh,NY Mets,Mitch Keller,Christian Scott,8,2,-115,-105,-120,100,-108,-108,-120,102,-115,-105,-125,105,-115,-105,-120,100,-115,-105,-122,102
300503,2024-07-08T20:05:00+00:00,Washington,St. Louis,Mitchell Parker,Miles Mikolas,0,6,-115,-105,-115,-105,-120,102,-116,-102,-110,-110,-125,105,-110,-110,-115,-105,-112,-108,-120,100
300506,2024-07-08T22:40:00+00:00,Detroit,Cleveland,Keider Montero,Gavin Williams,1,0,125,-150,120,-145,130,-154,124,-146,122,-145,118,-141,125,-150,120,-140,124,-148,120,-142
300507,2024-07-08T23:10:00+00:00,Cincinnati,Colorado,Andrew Abbott,Ryan Feltner,6,0,-190,155,-165,140,-180,152,-172,144,-196,162,-169,143,-190,160,-165,140,-198,164,-170,142
300504,2024-07-09T00:10:00+00:00,Chi. White Sox,Minnesota,Chris Flexen,Chris Paddack,6,8,155,-190,170,-210,154,-184,168,-200,158,-189,185,-227,160,-190,180,-220,160,-192,180,-218
300508,2024-07-09T01:38:00+00:00,LA Angels,Texas,Davis Daniel,Jon Gray,4,9,120,-145,130,-155,122,-144,130,-154,118,-141,135,-161,120,-140,130,-155,120,-142,130,-155
300545,2024-07-09T01:40:00+00:00,Arizona,Atlanta,Brandon Pfaadt,Max Fried,4,5,110,-135,100,-120,114,-134,100,-118,115,-135,-105,-115,115,-135,100,-120,124,-148,-102,-118
