gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds
278446,2023-06-07T16:35:00+00:00,Pittsburgh,Oakland,Roansy Contreras,Hogan Harris,5,9,-175,145,-175,145,-190,160,-184,154,-189,158,-189,158,-180,160,-185,165,-190,160,-180,155
278447,2023-06-07T20:10:00+00:00,San Diego,Seattle,Michael Wacha,George Kirby,10,3,-120,100,-115,-105,-116,-102,-118,-108,-120,100,-110,-110,-120,100,-115,-105,-120,100,-110,-110
278449,2023-06-07T22:10:00+00:00,Miami,Kansas City,Edward Cabrera,Jordan Lyles,6,1,-185,150,-190,155,-158,134,-184,154,-161,135,-196,162,-165,145,-200,170,-150,130,-190,160
278438,2023-06-07T22:40:00+00:00,Tampa Bay,Minnesota,Shawn Armstrong,Pablo Lopez,2,1,-140,115,-115,-105,-142,120,-118,100,-141,118,-115,-105,-135,115,-125,105,-135,115,-120,-110
278450,2023-06-07T23:05:00+00:00,Washington,Arizona,Patrick Corbin,Zach Davies,2,6,110,-135,-105,-115,108,-126,102,-120,118,-141,100,-120,115,-135,-105,-115,135,-155,100,-130
278445,2023-06-07T23:07:00+00:00,Toronto,Houston,Chris Bassitt,Ronel Blanco,3,2,-155,125,-150,125,-156,132,-154,130,-154,130,-154,130,-150,130,-150,130,-145,125,-150,130
278441,2023-06-07T23:10:00+00:00,Cincinnati,LA Dodgers,Brandon Williamson,Noah Syndergaard,8,6,140,-165,135,-160,140,-166,134,-158,143,-169,135,-161,145,-165,125,-145,170,-200,130,-150
278444,2023-06-07T23:10:00+00:00,Cleveland,Boston,Tanner Bibee,Kutter Crawford,5,2,-135,110,-130,105,-134,114,-134,114,-130,110,-141,118,-135,115,-135,115,-130,110,-135,115
278442,2023-06-07T23:20:00+00:00,Atlanta,NY Mets,Charlie Morton,Max Scherzer,7,5,-125,105,-135,110,-126,108,-132,112,-120,100,-130,110,-115,-105,-130,110,-125,105,-150,120
278451,2023-06-07T23:40:00+00:00,Milwaukee,Baltimore,Corbin Burnes,Dean Kremer,10,2,-140,115,-145,120,-146,124,-142,120,-145,122,-145,122,-145,125,-140,120,-135,115,-145,115
278439,2023-06-08T00:05:00+00:00,Texas,St. Louis,Jon Gray,Jack Flaherty,0,1,-145,120,-135,110,-134,114,-158,124,-145,122,-130,110,-145,125,-135,115,-125,105,-145,115
278452,2023-06-08T00:40:00+00:00,Colorado,San Francisco,Connor Seabold,Logan Webb,4,5,165,-200,185,-225,168,-200,182,-240,170,-204,192,-233,170,-200,185,-225,170,-200,195,-230
278440,2023-06-08T01:38:00+00:00,LA Angels,Chi. Cubs,Jaime Barria,Jameson Taillon,6,2,-135,110,-140,115,-136,116,-142,120,-135,115,-145,122,-135,115,-145,125,-140,120,-145,125
