gameId,startDate,homeTeam,awayTeam,homePitcher,awayPitcher,homeScore,awayScore,betmgm_opening_homeOdds,betmgm_opening_awayOdds,betmgm_current_homeOdds,betmgm_current_awayOdds,fanduel_opening_homeOdds,fanduel_opening_awayOdds,fanduel_current_homeOdds,fanduel_current_awayOdds,caesars_opening_homeOdds,caesars_opening_awayOdds,caesars_current_homeOdds,caesars_current_awayOdds,bet365_opening_homeOdds,bet365_opening_awayOdds,bet365_current_homeOdds,bet365_current_awayOdds,draftkings_opening_homeOdds,draftkings_opening_awayOdds,draftkings_current_homeOdds,draftkings_current_awayOdds
278455,2023-06-08T16:35:00+00:00,Cincinnati,LA Dodgers,Graham Ashcraft,Clayton Kershaw,0,6,170,-210,200,-250,190,-230,200,-245,175,-208,205,-250,175,-210,200,-240,190,-225,200,-240
278454,2023-06-08T17:10:00+00:00,Tampa Bay,Minnesota,Yonny Chirinos,Bailey Ober,4,2,-175,145,-125,105,-174,146,-122,104,-169,143,-125,105,-170,150,-125,105,-150,130,-125,105
278461,2023-06-08T18:10:00+00:00,Milwaukee,Baltimore,Colin Rea,Kyle Bradish,3,6,-105,-115,-110,-110,-106,-110,-106,-110,-110,-110,-110,-110,-110,-110,-110,-110,-115,-105,-105,-115
278462,2023-06-08T19:10:00+00:00,Colorado,San Francisco,Chase Dollander,Alex Cobb,4,6,165,-200,150,-185,152,-180,152,-180,158,-189,150,-179,170,-200,155,-175,150,-175,145,-170
278453,2023-06-08T20:05:00+00:00,NY Yankees,Chi. White Sox,Luis Severino,Michael Lynn,5,6,-175,145,-135,115,-168,142,-142,120,-169,143,-145,122,-135,115,-130,110,-155,135,-145,125
278448,2023-06-08T22:05:00+00:00,Philadelphia,Detroit,Zack Wheeler,Tyler Holton,3,2,-250,200,-250,200,-255,210,-245,200,-250,205,-238,196,-260,215,-230,190,-250,210,-240,200
278443,2023-06-08T23:05:00+00:00,NY Yankees,Chi. White Sox,Randy Vasquez,Mike Clevinger,3,0,-125,105,-135,110,-126,108,-134,114,-141,118,-135,115,-135,115,-135,115,-125,105,-135,115
278456,2023-06-08T23:07:00+00:00,Toronto,Houston,Jose Berrios,Framber Valdez,3,2,105,-130,-105,-115,106,-124,100,-118,110,-130,100,-120,110,-130,-105,-115,110,-130,-105,-115
278459,2023-06-08T23:10:00+00:00,Cleveland,Boston,Aaron Civale,Matthew Dermody,10,3,-115,-105,-150,125,-134,116,-154,130,-115,-105,-154,130,-115,-105,-150,130,-115,-105,-150,130
278458,2023-06-08T23:20:00+00:00,Atlanta,NY Mets,Spencer Strider,Justin Verlander,13,10,-175,145,-190,155,-172,144,-190,160,-169,143,-189,158,-170,150,-185,165,-170,145,-190,160
278457,2023-06-09T01:38:00+00:00,LA Angels,Chi. Cubs,Reid Detmers,Todd Smyly,3,1,-135,110,-135,110,-136,116,-138,108,-135,115,-130,110,-135,115,-130,110,-140,120,-130,110
