Team,Batting Average,Date,Team Abbreviation
Texas,0.270091,2023-06-17,TEX
Atlanta,0.264929,2023-06-17,ATL
Tampa Bay,0.263759,2023-06-17,TBR
Arizona,0.26369,2023-06-17,ARI
Toronto,0.262922,2023-06-17,TOR
Boston,0.261994,2023-06-17,BOS
Washington,0.261281,2023-06-17,WSN
Philadelphia,0.259692,2023-06-17,PHI
Miami,0.256378,2023-06-17,MIA
Colorado,0.255728,2023-06-17,COL
LA Angels,0.255415,2023-06-17,LAA
Baltimore,0.254063,2023-06-17,BAL
Cincinnati,0.252752,2023-06-17,CIN
SF Giants,0.252636,2023-06-17,SFG
Chi Cubs,0.249785,2023-06-17,CHC
St. Louis,0.248218,2023-06-17,STL
Pittsburgh,0.246991,2023-06-17,PIT
Houston,0.244699,2023-06-17,HOU
Cleveland,0.242476,2023-06-17,CLE
LA Dodgers,0.241336,2023-06-17,LAD
NY Mets,0.24028,2023-06-17,NYM
Chi Sox,0.23466,2023-06-17,CHW
NY Yankees,0.232658,2023-06-17,NYY
Minnesota,0.231619,2023-06-17,MIN
Kansas City,0.231337,2023-06-17,KCR
Seattle,0.229956,2023-06-17,SEA
Detroit,0.229572,2023-06-17,DET
San Diego,0.229204,2023-06-17,SDP
Milwaukee,0.228735,2023-06-17,MIL
Sacramento,0.222503,2023-06-17,OAK
