Team,Batting Average,Date,Team Abbreviation
Texas,0.278236,2023-06-06,TEX
Toronto,0.266322,2023-06-06,TOR
Tampa Bay,0.265714,2023-06-06,TBR
Washington,0.264881,2023-06-06,WSN
Miami,0.261905,2023-06-06,MIA
Boston,0.261719,2023-06-06,BOS
Arizona,0.259497,2023-06-06,ARI
Colorado,0.259313,2023-06-06,COL
LA Angels,0.258546,2023-06-06,LAA
Atlanta,0.2585,2023-06-06,ATL
Philadelphia,0.258175,2023-06-06,PHI
Cincinnati,0.25235,2023-06-06,CIN
St. Louis,0.251201,2023-06-06,STL
Houston,0.25,2023-06-06,HOU
Baltimore,0.249119,2023-06-06,BAL
Chi Cubs,0.248619,2023-06-06,CHC
Pittsburgh,0.247688,2023-06-06,PIT
SF Giants,0.247387,2023-06-06,SFG
LA Dodgers,0.242048,2023-06-06,LAD
NY Mets,0.240666,2023-06-06,NYM
Chi Sox,0.239634,2023-06-06,CHW
NY Yankees,0.235905,2023-06-06,NYY
Cleveland,0.232724,2023-06-06,CLE
Minnesota,0.232708,2023-06-06,MIN
Kansas City,0.23257,2023-06-06,KCR
Seattle,0.227964,2023-06-06,SEA
Milwaukee,0.227783,2023-06-06,MIL
Detroit,0.223865,2023-06-06,DET
San Diego,0.22171,2023-06-06,SDP
Sacramento,0.21788,2023-06-06,OAK
