Team,Batting Average,Date,Team Abbreviation
Texas,0.274664,2023-06-10,TEX
Atlanta,0.264432,2023-06-10,ATL
Arizona,0.264169,2023-06-10,ARI
Tampa Bay,0.262849,2023-06-10,TBR
Toronto,0.262222,2023-06-10,TOR
Washington,0.262062,2023-06-10,WSN
Boston,0.260293,2023-06-10,BOS
Miami,0.259414,2023-06-10,MIA
Colorado,0.259393,2023-06-10,COL
LA Angels,0.25648,2023-06-10,LAA
Philadelphia,0.25514,2023-06-10,PHI
Cincinnati,0.254984,2023-06-10,CIN
Pittsburgh,0.250609,2023-06-10,PIT
St. Louis,0.250115,2023-06-10,STL
SF Giants,0.249069,2023-06-10,SFG
Baltimore,0.247763,2023-06-10,BAL
Houston,0.247217,2023-06-10,HOU
Chi Cubs,0.244917,2023-06-10,CHC
LA Dodgers,0.242565,2023-06-10,LAD
NY Mets,0.241525,2023-06-10,NYM
Cleveland,0.238588,2023-06-10,CLE
Chi Sox,0.238095,2023-06-10,CHW
NY Yankees,0.234201,2023-06-10,NYY
Kansas City,0.229852,2023-06-10,KCR
Milwaukee,0.229524,2023-06-10,MIL
Minnesota,0.22816,2023-06-10,MIN
San Diego,0.227339,2023-06-10,SDP
Seattle,0.225557,2023-06-10,SEA
Sacramento,0.224074,2023-06-10,OAK
Detroit,0.22206,2023-06-10,DET
