Team,Batting Average,Date,Team Abbreviation
Texas,0.271809,2023-05-31,TEX
Tampa Bay,0.268951,2023-05-31,TBR
Toronto,0.266493,2023-05-31,TOR
Boston,0.264182,2023-05-31,BOS
Washington,0.263046,2023-05-31,WSN
Colorado,0.262797,2023-05-31,COL
Arizona,0.261266,2023-05-31,ARI
Miami,0.258981,2023-05-31,MIA
Cincinnati,0.257409,2023-05-31,CIN
Atlanta,0.256851,2023-05-31,ATL
LA Angels,0.255924,2023-05-31,LAA
Chi Cubs,0.254763,2023-05-31,CHC
Philadelphia,0.253942,2023-05-31,PHI
St. Louis,0.25295,2023-05-31,STL
Baltimore,0.250811,2023-05-31,BAL
SF Giants,0.247071,2023-05-31,SFG
NY Mets,0.246583,2023-05-31,NYM
Houston,0.244457,2023-05-31,HOU
Pittsburgh,0.242441,2023-05-31,PIT
NY Yankees,0.241944,2023-05-31,NYY
LA Dodgers,0.240682,2023-05-31,LAD
Chi Sox,0.24033,2023-05-31,CHW
Kansas City,0.232323,2023-05-31,KCR
Minnesota,0.231845,2023-05-31,MIN
Milwaukee,0.230638,2023-05-31,MIL
Seattle,0.229517,2023-05-31,SEA
Detroit,0.228762,2023-05-31,DET
Cleveland,0.228747,2023-05-31,CLE
San Diego,0.222348,2023-05-31,SDP
Sacramento,0.220456,2023-05-31,OAK
