Team,Batting Average,Date,Team Abbreviation
Texas,0.273665,2023-06-12,TEX
Toronto,0.263476,2023-06-12,TOR
Tampa Bay,0.263457,2023-06-12,TBR
Atlanta,0.263443,2023-06-12,ATL
Arizona,0.263277,2023-06-12,ARI
Washington,0.262025,2023-06-12,WSN
Miami,0.259775,2023-06-12,MIA
Boston,0.258766,2023-06-12,BOS
Colorado,0.258036,2023-06-12,COL
LA Angels,0.256941,2023-06-12,LAA
Philadelphia,0.256004,2023-06-12,PHI
Cincinnati,0.255491,2023-06-12,CIN
Baltimore,0.251369,2023-06-12,BAL
St. Louis,0.25,2023-06-12,STL
SF Giants,0.248983,2023-06-12,SFG
Pittsburgh,0.24858,2023-06-12,PIT
Houston,0.245843,2023-06-12,HOU
Chi Cubs,0.242563,2023-06-12,CHC
LA Dodgers,0.241441,2023-06-12,LAD
Cleveland,0.241206,2023-06-12,CLE
NY Mets,0.239598,2023-06-12,NYM
Chi Sox,0.236668,2023-06-12,CHW
NY Yankees,0.231812,2023-06-12,NYY
Minnesota,0.230458,2023-06-12,MIN
Kansas City,0.229917,2023-06-12,KCR
Seattle,0.229439,2023-06-12,SEA
Milwaukee,0.229387,2023-06-12,MIL
San Diego,0.2277,2023-06-12,SDP
Sacramento,0.223572,2023-06-12,OAK
Detroit,0.222954,2023-06-12,DET
