Team,Batting Average,Date,Team Abbreviation
Texas,0.271849,2023-06-19,TEX
Atlanta,0.269246,2023-06-19,ATL
Arizona,0.263525,2023-06-19,ARI
Toronto,0.263074,2023-06-19,TOR
Tampa Bay,0.262907,2023-06-19,TBR
Boston,0.262901,2023-06-19,BOS
Washington,0.260761,2023-06-19,WSN
Philadelphia,0.257973,2023-06-19,PHI
Miami,0.256919,2023-06-19,MIA
LA Angels,0.256257,2023-06-19,LAA
Baltimore,0.255505,2023-06-19,BAL
Colorado,0.25537,2023-06-19,COL
SF Giants,0.254902,2023-06-19,SFG
Cincinnati,0.254105,2023-06-19,CIN
St. Louis,0.247557,2023-06-19,STL
Chi Cubs,0.246644,2023-06-19,CHC
Houston,0.245477,2023-06-19,HOU
Cleveland,0.245008,2023-06-19,CLE
Pittsburgh,0.244792,2023-06-19,PIT
LA Dodgers,0.240954,2023-06-19,LAD
NY Mets,0.240017,2023-06-19,NYM
Chi Sox,0.234727,2023-06-19,CHW
Kansas City,0.232911,2023-06-19,KCR
NY Yankees,0.230285,2023-06-19,NYY
Minnesota,0.229909,2023-06-19,MIN
Detroit,0.229474,2023-06-19,DET
Seattle,0.228632,2023-06-19,SEA
San Diego,0.228411,2023-06-19,SDP
Milwaukee,0.228191,2023-06-19,MIL
Sacramento,0.222358,2023-06-19,OAK
