Team,Batting Average,Date,Team Abbreviation
Atlanta,0.273789,2023-08-18,ATL
Texas,0.271344,2023-08-18,TEX
Miami,0.261509,2023-08-18,MIA
Boston,0.261038,2023-08-18,BOS
Washington,0.259357,2023-08-18,WSN
Toronto,0.259135,2023-08-18,TOR
St. Louis,0.258142,2023-08-18,STL
Tampa Bay,0.256466,2023-08-18,TBR
Philadelphia,0.255427,2023-08-18,PHI
Chi Cubs,0.254362,2023-08-18,CHC
Arizona,0.253525,2023-08-18,ARI
LA Dodgers,0.251846,2023-08-18,LAD
Houston,0.251507,2023-08-18,HOU
LA Angels,0.250605,2023-08-18,LAA
Cincinnati,0.250604,2023-08-18,CIN
Baltimore,0.25049,2023-08-18,BAL
Cleveland,0.250425,2023-08-18,CLE
Colorado,0.248534,2023-08-18,COL
Kansas City,0.244256,2023-08-18,KCR
San Diego,0.239832,2023-08-18,SDP
Minnesota,0.238512,2023-08-18,MIN
Seattle,0.238224,2023-08-18,SEA
SF Giants,0.238201,2023-08-18,SFG
Chi Sox,0.237448,2023-08-18,CHW
NY Mets,0.236318,2023-08-18,NYM
Detroit,0.235236,2023-08-18,DET
Pittsburgh,0.234824,2023-08-18,PIT
Milwaukee,0.232068,2023-08-18,MIL
NY Yankees,0.230789,2023-08-18,NYY
Sacramento,0.223396,2023-08-18,OAK
