Team,Batting Average,Date,Team Abbreviation
Texas,0.274131,2023-06-30,TEX
Atlanta,0.27027,2023-06-30,ATL
Arizona,0.263968,2023-06-30,ARI
Tampa Bay,0.263643,2023-06-30,TBR
Toronto,0.262934,2023-06-30,TOR
Miami,0.262171,2023-06-30,MIA
Washington,0.261219,2023-06-30,WSN
LA Angels,0.259115,2023-06-30,LAA
Boston,0.258203,2023-06-30,BOS
Philadelphia,0.256737,2023-06-30,PHI
Cincinnati,0.256634,2023-06-30,CIN
Colorado,0.255433,2023-06-30,COL
Baltimore,0.253188,2023-06-30,BAL
SF Giants,0.250813,2023-06-30,SFG
St. Louis,0.249908,2023-06-30,STL
Cleveland,0.248989,2023-06-30,CLE
Houston,0.248814,2023-06-30,HOU
Chi Cubs,0.247183,2023-06-30,CHC
LA Dodgers,0.241405,2023-06-30,LAD
Pittsburgh,0.24079,2023-06-30,PIT
NY Mets,0.239583,2023-06-30,NYM
Chi Sox,0.23673,2023-06-30,CHW
San Diego,0.232619,2023-06-30,SDP
Kansas City,0.230855,2023-06-30,KCR
NY Yankees,0.230625,2023-06-30,NYY
Minnesota,0.230574,2023-06-30,MIN
Seattle,0.229057,2023-06-30,SEA
Detroit,0.228804,2023-06-30,DET
Milwaukee,0.226365,2023-06-30,MIL
Sacramento,0.217662,2023-06-30,OAK
